day,hour,referrer,isMainConversion,isMicroConversion,spentTime,pageNum,score,visitId
Saturday,podvecer,NA,true,false,dlouhaDoba,hodne,2413,3751
Monday,rano,OwnWebs,false,false,delsiDoba,vice,885,1210
Thursday,poledne,NA,false,false,stredniDoba,malo,230,2783
Tuesday,odpoledne,NA,false,false,stredniDoba,malo,295,4840
Wednesday,podvecer,Fulltext,false,false,stredniDoba,vice,552,2552
Sunday,odpoledne,NA,true,false,stredniDoba,malo,343,3883
Thursday,rano,Fulltext,false,false,stredniDoba,malo,295,2673
Monday,vecer,NA,false,false,dlouhaDoba,vice,3383,1584
Friday,poledne,NA,false,false,kratkaDoba,malo,110,5940
Friday,podvecer,Fulltext,false,false,delsiDoba,malo,470,3520
Monday,odpoledne,Fulltext,false,false,stredniDoba,vice,306,1353
Monday,odpoledne,Fulltext,false,false,delsiDoba,vice,939,1474
Friday,poledne,NA,false,false,dlouhaDoba,vice,1769,5830
Friday,odpoledne,NA,false,false,kratkaDoba,jedna,30,5951
Friday,odpoledne,Catalogue,false,false,kratkaDoba,malo,193,3410
Tuesday,poledne,Fulltext,false,false,stredniDoba,vice,778,4741
Friday,vecer,Fulltext,false,false,dlouhaDoba,hodne,3947,3531
Tuesday,odpoledne,NA,false,false,stredniDoba,vice,756,4862
Wednesday,odpoledne,NA,false,false,delsiDoba,vice,917,2453
Saturday,vecer,OwnWebs,false,false,kratkaDoba,malo,161,3784
Friday,poledne,Fulltext,false,false,stredniDoba,vice,417,5841
Friday,poledne,NA,false,false,kratkaDoba,malo,193,3300
Friday,odpoledne,Fulltext,false,false,kratkaDoba,vice,264,5962
Wednesday,poledne,NA,false,false,kratkaDoba,malo,110,2211
Tuesday,odpoledne,NA,false,false,stredniDoba,vice,648,4873
Monday,odpoledne,NA,true,false,stredniDoba,malo,385,6820
Monday,podvecer,NA,false,false,kratkaDoba,malo,110,6941
Monday,odpoledne,Fulltext,false,false,stredniDoba,vice,531,4400
Thursday,podvecer,NA,false,false,kratkaDoba,vice,264,5731
Friday,poledne,Partners,false,false,delsiDoba,vice,967,3311
Tuesday,poledne,OwnWebs,false,false,delsiDoba,vice,937,4642
Friday,odpoledne,NA,false,false,kratkaDoba,malo,110,5973
Tuesday,odpoledne,Fulltext,false,false,dlouhaDoba,vice,1638,4763
Wednesday,odpoledne,NA,false,false,kratkaDoba,vice,492,2354
Monday,odpoledne,NA,false,false,stredniDoba,vice,435,1386
Thursday,odpoledne,NA,false,false,kratkaDoba,vice,243,7920
Thursday,poledne,NA,false,false,kratkaDoba,malo,110,5500
Friday,poledne,NA,false,false,kratkaDoba,malo,172,5863
Friday,odpoledne,NA,true,false,kratkaDoba,vice,642,3322
Friday,odpoledne,NA,false,false,dlouhaDoba,hodne,2003,5984
Tuesday,vecer,Fulltext,false,false,dlouhaDoba,vice,1631,2112
Wednesday,poledne,Other,false,false,delsiDoba,hodne,2200,2233
Monday,poledne,NA,false,false,dlouhaDoba,vice,2052,1276
Monday,poledne,Fulltext,false,false,dlouhaDoba,hodne,6921,6600
Monday,poledne,NA,false,false,kratkaDoba,vice,446,6721
Thursday,odpoledne,Other,false,false,stredniDoba,vice,366,5632
Monday,odpoledne,Fulltext,false,false,dlouhaDoba,malo,1209,4422
Thursday,podvecer,Fulltext,false,false,kratkaDoba,malo,110,5753
Tuesday,odpoledne,NA,false,false,kratkaDoba,malo,172,2002
Wednesday,rano,Fulltext,false,false,stredniDoba,vice,306,2123
Tuesday,odpoledne,Fulltext,false,false,stredniDoba,vice,530,4785
Wednesday,odpoledne,Fulltext,false,false,delsiDoba,vice,717,2376
Wednesday,odpoledne,Fulltext,false,false,delsiDoba,malo,833,7700
Monday,poledne,Catalogue,true,false,delsiDoba,vice,908,6611
Thursday,odpoledne,Other,false,false,dlouhaDoba,vice,1400,7942
Monday,poledne,NA,false,false,delsiDoba,hodne,1291,6732
Thursday,poledne,NA,false,false,dlouhaDoba,hodne,3737,5522
Monday,odpoledne,Partners,false,false,stredniDoba,vice,327,6853
Friday,poledne,Catalogue,false,false,kratkaDoba,malo,193,5885
Friday,odpoledne,NA,false,false,stredniDoba,malo,352,3465
Wednesday,odpoledne,NA,false,false,kratkaDoba,malo,193,2387
Monday,poledne,Catalogue,false,false,dlouhaDoba,vice,1666,1298
Monday,odpoledne,NA,false,false,dlouhaDoba,malo,1036,8800
Wednesday,odpoledne,Fulltext,false,false,stredniDoba,malo,292,7711
